"donor","gene","wt_outgoing_weight","ko_outgoing_weight","absolute_wt_weight"
"hoa2","ARL15",0.019,0,0.019
"hoa2","BNIP3L",0.019,0,0.019
"hoa2","SOX17",0.019,0,0.019
"hoa2","CALCOCO2",0.018,0,0.018
"hoa2","RELA",0.018,0,0.018
"hoa2","SRGN",0.018,0,0.018
"hoa2","VEGFC",0.018,0,0.018
"hoa2","ANKRD29",-0.017,0,0.017
"hoa2","COX7A2",0.017,0,0.017
"hoa2","ADGRG6",-0.016,0,0.016
"hoa2","C7",-0.016,0,0.016
"hoa2","DUSP2",0.016,0,0.016
"hoa2","FILIP1",-0.016,0,0.016
"hoa2","GABPA",0.016,0,0.016
"hoa2","GBP1",0.016,0,0.016
"hoa2","IGFBP5",0.016,0,0.016
"hoa2","MMP2",-0.016,0,0.016
"hoa2","PIM1",0.016,0,0.016
"hoa2","RHEB",0.016,0,0.016
"hoa2","UQCRC2",0.016,0,0.016
"hoa2","CYP1B1",0.015,0,0.015
"hoa2","GADD45G",0.015,0,0.015
"hoa2","HSPD1",0.015,0,0.015
"hoa2","PLAUR",0.015,0,0.015
"hoa2","VDAC1",0.015,0,0.015
"hoa2","COX6C",0.014,0,0.014
"hoa2","INHBB",0.014,0,0.014
"hoa2","PLEKHG2",0.014,0,0.014
"hoa2","RCAN1",0.014,0,0.014
"hoa2","AFG3L2",0.013,0,0.013
"hoa2","CDH13",-0.013,0,0.013
"hoa2","SEMA3G",0.013,0,0.013
"hoa2","TEAD1",0.013,0,0.013
"hoa2","TTC21B",0.013,0,0.013
"hoa2","FILIP1L",0.012,0,0.012
"hoa2","JAG1",0.012,0,0.012
"hoa2","KIAA0040",0.012,0,0.012
"hoa2","MT1E",0.012,0,0.012
"hoa2","TBK1",0.012,0,0.012
"hoa2","BIRC3",0.011,0,0.011
"hoa2","EFNB1",-0.011,0,0.011
"hoa2","NBR1",0.011,0,0.011
"hoa2","PHB2",0.011,0,0.011
"hoa2","TSPAN13",-0.011,0,0.011
"hoa2","TXN2",0.011,0,0.011
"hoa2","VCP",0.011,0,0.011
"hoa2","VSIR",-0.011,0,0.011
"hoa2","FAM107A",0.01,0,0.01
"hoa2","FKBP8",-0.01,0,0.01
"hoa2","IFIT3",0.01,0,0.01
"hoa2","RNPC3",0.01,0,0.01
"hoa2","SNORD3A",0.01,0,0.01
"hoa2","TRAP1",0.01,0,0.01
"hoa2","ULK1",0.01,0,0.01
"hoa2","ZEB2",0.01,0,0.01
"hoa2","CAT",-0.009,0,0.009
"hoa2","CCND1",-0.009,0,0.009
"hoa2","DNAJA4",0.009,0,0.009
"hoa2","FBLN2",0.009,0,0.009
"hoa2","FUT8",0.009,0,0.009
"hoa2","HLA-DQA1",0.009,0,0.009
"hoa2","KEAP1",0.009,0,0.009
"hoa2","LCN6",0.009,0,0.009
"hoa2","MAP1B",0.009,0,0.009
"hoa2","PLAC9",0.009,0,0.009
"hoa2","BAX",0.008,0,0.008
"hoa2","BCL2L13",0.008,0,0.008
"hoa2","DGKE",0.008,0,0.008
"hoa2","GCNT2",0.008,0,0.008
"hoa2","IFIT1",0.008,0,0.008
"hoa2","PRDX2",0.008,0,0.008
"hoa2","SYNJ2",0.008,0,0.008
"hoa2","AC091271.1",0.007,0,0.007
"hoa2","ACKR1",0.007,0,0.007
"hoa2","BGN",0.007,0,0.007
"hoa2","CD14",0.007,0,0.007
"hoa2","DEPP1",-0.007,0,0.007
"hoa2","GABARAP",0.007,0,0.007
"hoa2","MTOR",0.007,0,0.007
"hoa2","PRKX",0.007,0,0.007
"hoa2","SOX13",-0.007,0,0.007
"hoa2","TIMP4",-0.007,0,0.007
"hoa2","CCN1",0.006,0,0.006
"hoa2","IRF3",-0.006,0,0.006
"hoa2","LGALS1",-0.006,0,0.006
"hoa2","MTCH2",-0.006,0,0.006
"hoa2","MX1",0.006,0,0.006
"hoa2","NIBAN1",-0.006,0,0.006
"hoa2","THY1",0.006,0,0.006
"hoa2","VDAC2",0.006,0,0.006
"hoa2","ATP5F1B",0.005,0,0.005
"hoa2","BNIP3",-0.005,0,0.005
"hoa2","CCL23",0.005,0,0.005
"hoa2","GPX4",-0.005,0,0.005
"hoa2","LATS1",0.005,0,0.005
"hoa2","LINC00472",-0.005,0,0.005
"hoa2","RPL32P3",-0.005,0,0.005
"hoa2","TM6SF1",0.005,0,0.005
"hoa2","VCAN",0.005,0,0.005
"hoa2","AC002558.3",0.004,0,0.004
"hoa2","ADAMTS6",0.004,0,0.004
"hoa2","ADM",0.004,0,0.004
"hoa2","ATP5F1A",-0.004,0,0.004
"hoa2","CLDN5",-0.004,0,0.004
"hoa2","EDN1",0.004,0,0.004
"hoa2","F8",-0.004,0,0.004
"hoa2","FLT1",-0.004,0,0.004
"hoa2","FMO2",-0.004,0,0.004
"hoa2","GABARAPL2",0.004,0,0.004
"hoa2","GPRC5A",0.004,0,0.004
"hoa2","LEPR",0.004,0,0.004
"hoa2","PGF",-0.004,0,0.004
"hoa2","SLC5A3",0.004,0,0.004
"hoa2","TAGLN",0.004,0,0.004
"hoa2","TEK",-0.004,0,0.004
"hoa2","TFAM",-0.004,0,0.004
"hoa2","TSC2",-0.004,0,0.004
"hoa2","UQCRC1",-0.004,0,0.004
"hoa2","ZNF224",0.004,0,0.004
"hoa2","BMP4",0.003,0,0.003
"hoa2","CX3CL1",0.003,0,0.003
"hoa2","CXCL12",0.003,0,0.003
"hoa2","IFT88",-0.003,0,0.003
"hoa2","LAMA3",-0.003,0,0.003
"hoa2","MCAM",-0.003,0,0.003
"hoa2","PMPCB",0.003,0,0.003
"hoa2","PRDX3",0.003,0,0.003
"hoa2","RRN3P1",-0.003,0,0.003
"hoa2","TEAD4",0.003,0,0.003
"hoa2","TMEM161B-AS1",-0.003,0,0.003
"hoa2","TNFRSF4",-0.003,0,0.003
"hoa2","TRDMT1",-0.003,0,0.003
"hoa2","VDAC3",0.003,0,0.003
"hoa2","WDR44",0.003,0,0.003
"hoa2","YAP1",0.003,0,0.003
"hoa2","AC109326.1",-0.002,0,0.002
"hoa2","ARL4C",0.002,0,0.002
"hoa2","ATP8A1",0.002,0,0.002
"hoa2","CR381670.1",-0.002,0,0.002
"hoa2","DNM1L",0.002,0,0.002
"hoa2","EDNRB",-0.002,0,0.002
"hoa2","EIF4EBP1",-0.002,0,0.002
"hoa2","GPRC5B",-0.002,0,0.002
"hoa2","H19",-0.002,0,0.002
"hoa2","MET",0.002,0,0.002
"hoa2","MFN2",0.002,0,0.002
"hoa2","PIK3R3",-0.002,0,0.002
"hoa2","PPP1R14A",-0.002,0,0.002
"hoa2","PRDX1",-0.002,0,0.002
"hoa2","SIPA1L2",0.002,0,0.002
"hoa2","SOD1",-0.002,0,0.002
"hoa2","SYT11",-0.002,0,0.002
"hoa2","TCF15",0.002,0,0.002
"hoa2","THBS1",0.002,0,0.002
"hoa2","ACE",0.001,0,0.001
"hoa2","APOD",0.001,0,0.001
"hoa2","AQP7",-0.001,0,0.001
"hoa2","ATG5",-0.001,0,0.001
"hoa2","BCL2L1",0.001,0,0.001
"hoa2","C1orf54",0.001,0,0.001
"hoa2","CBWD5",0.001,0,0.001
"hoa2","CXCR4",0.001,0,0.001
"hoa2","DLL4",-0.001,0,0.001
"hoa2","FAM184A",0.001,0,0.001
"hoa2","FAN1",-0.001,0,0.001
"hoa2","HTRA2",-0.001,0,0.001
"hoa2","IFIT2",-0.001,0,0.001
"hoa2","IKBKB",0.001,0,0.001
"hoa2","IL32",0.001,0,0.001
"hoa2","INF2",-0.001,0,0.001
"hoa2","INMT",0.001,0,0.001
"hoa2","ISG15",0.001,0,0.001
"hoa2","JAG2",-0.001,0,0.001
"hoa2","LATS2",0.001,0,0.001
"hoa2","MEOX2",0.001,0,0.001
"hoa2","MFF",-0.001,0,0.001
"hoa2","MFN1",-0.001,0,0.001
"hoa2","MIGA1",-0.001,0,0.001
"hoa2","MTFR1L",-0.001,0,0.001
"hoa2","NDUFS1",-0.001,0,0.001
"hoa2","PARL",-0.001,0,0.001
"hoa2","PDGFB",0.001,0,0.001
"hoa2","RASGEF1B",0.001,0,0.001
"hoa2","RPS6KA5",0.001,0,0.001
"hoa2","RPS6KB1",0.001,0,0.001
"hoa2","SLC26A2",-0.001,0,0.001
"hoa2","SLC4A7",0.001,0,0.001
"hoa2","SLC6A6",0.001,0,0.001
"hoa2","SYBU",-0.001,0,0.001
"hoa2","TAX1BP1",-0.001,0,0.001
"hoa2","TMEM173",0.001,0,0.001
"hoa2","TSC1",0.001,0,0.001
"hoa2","VCAM1",-0.001,0,0.001
"hoa2","WWTR1",0.001,0,0.001
"hoa2","AKT1",0,0,0
"hoa2","BID",0,0,0
"hoa2","CCN2",0,0,0
"hoa2","CGAS",0,0,0
"hoa2","CLPP",0,0,0
"hoa2","DNM2",0,0,0
"hoa2","ECRG4",0,0,0
"hoa2","EMCN",0,0,0
"hoa2","F2RL3",0,0,0
"hoa2","GABRB2",0,0,0
"hoa2","GIGYF1",0,0,0
"hoa2","IRF7",0,0,0
"hoa2","LONP1",0,0,0
"hoa2","NDUFB8",0,0,0
"hoa2","OPA1",0,0,0
"hoa2","OPTN",0,0,0
"hoa2","PINK1",0,0,0
"hoa2","PMPCA",0,0,0
"hoa2","RGS2",0,0,0
"hoa2","RND3",0,0,0
"hoa2","SQSTM1",0,0,0
"hoa2","TLCD2",0,0,0
"hoa2","ZNF331",0,0,0
